date,pm25,o3,no2,so2,co
2021-03-15,21.0,30.0,12.0,1.0,1.0
2021-03-14,22.0,32.0,7.0,1.0,1.0
2021-03-13,37.0,30.0,7.0,1.0,1.0
2021-03-12,55.0,35.0,13.0,1.0,1.0
2021-03-11,37.0,44.0,16.0,1.0,2.0
2021-03-10,37.0,29.0,18.0,1.0,2.0
2021-03-09,32.0,32.0,16.0,1.0,2.0
2021-03-08,29.0,27.0,18.0,1.0,2.0
2021-03-07,28.0,28.0,10.0,1.0,1.0
2021-03-06,20.0,29.0,9.0,1.0,1.0
2021-03-05,27.0,29.0,10.0,1.0,1.0
2021-03-04,35.0,27.0,13.0,1.0,1.0
2021-03-03,25.0,29.0,15.0,1.0,2.0
2021-03-02,30.0,28.0,8.0,1.0,1.0
2021-03-01,37.0,28.0,15.0,1.0,2.0
2021-02-28,36.0,25.0,14.0,1.0,2.0
2021-02-27,31.0,25.0,14.0,1.0,2.0
2021-02-26,25.0,30.0,15.0,1.0,1.0
2021-02-25,29.0,30.0,9.0,1.0,1.0
2021-02-24,42.0,35.0,14.0,1.0,1.0
2021-02-23,47.0,33.0,16.0,1.0,1.0
2021-02-22,32.0,28.0,24.0,1.0,3.0
2021-02-21,36.0,30.0,16.0,1.0,2.0
2021-02-20,36.0,28.0,18.0,1.0,2.0
2021-02-19,28.0,20.0,20.0,1.0,2.0
2021-02-18,26.0,21.0,16.0,1.0,2.0
2021-02-17,23.0,27.0,13.0,1.0,1.0
2021-02-16,34.0,25.0,19.0,1.0,2.0
2021-02-15,33.0,22.0,14.0,1.0,2.0
2021-02-14,25.0,19.0,18.0,1.0,2.0
2021-02-13,34.0,24.0,11.0,1.0,1.0
2021-02-12,56.0,24.0,17.0,1.0,1.0
2021-02-11,59.0,26.0,22.0,1.0,2.0
2021-02-10,59.0,25.0,21.0,1.0,2.0
2021-02-09,53.0,14.0,29.0,1.0,2.0
2021-02-08,48.0,26.0,20.0,1.0,2.0
2021-02-07,58.0,18.0,22.0,1.0,3.0
2021-02-06,59.0,28.0,17.0,1.0,2.0
2021-02-05,35.0,21.0,32.0,1.0,4.0
2021-02-04,24.0,24.0,21.0,1.0,2.0
2021-02-03,21.0,26.0,16.0,1.0,2.0
2021-02-02,41.0,25.0,9.0,1.0,1.0
2021-02-01,50.0,24.0,15.0,1.0,2.0
2021-01-31,44.0,17.0,18.0,1.0,2.0
2021-01-30,36.0,25.0,12.0,1.0,1.0
2021-01-29,24.0,23.0,11.0,1.0,1.0
2021-01-28,30.0,25.0,19.0,1.0,1.0
2021-01-27,29.0,15.0,25.0,1.0,1.0
2021-01-26,27.0,24.0,19.0,1.0,2.0
2021-01-25,23.0,26.0,15.0,1.0,1.0
2021-01-24,20.0,29.0,5.0,1.0,1.0
2021-01-23,46.0,25.0,7.0,1.0,1.0
2021-01-22,36.0,18.0,19.0,1.0,3.0
2021-01-21,36.0,21.0,20.0,1.0,2.0
2021-01-20,31.0,25.0,16.0,1.0,2.0
2021-01-19,24.0,20.0,13.0,1.0,2.0
2021-01-18,24.0,21.0,9.0,1.0,1.0
2021-01-17,22.0,23.0,5.0,1.0,1.0
2021-01-16,57.0,28.0,6.0,1.0,1.0
2021-01-15,84.0,19.0,15.0,1.0,2.0
2021-01-14,50.0,6.0,25.0,1.0,3.0
2021-01-13,54.0,16.0,19.0,1.0,2.0
2021-01-12,59.0,16.0,22.0,1.0,3.0
2021-01-11,37.0,9.0,29.0,1.0,5.0
2021-01-10,29.0,25.0,17.0,1.0,2.0
2021-01-09,32.0,25.0,17.0,1.0,2.0
2021-01-08,33.0,23.0,15.0,1.0,2.0
2021-01-07,33.0,23.0,12.0,1.0,2.0
2021-01-06,31.0,21.0,14.0,1.0,2.0
2021-01-05,32.0,21.0,18.0,1.0,2.0
2021-01-04,38.0,19.0,12.0,1.0,2.0
2021-01-03,20.0,20.0,16.0,1.0,2.0
2021-01-02,40.0,24.0,9.0,1.0,1.0
2021-01-01,23.0,20.0,15.0,1.0,2.0
2020-12-31,32.0,27.0,11.0,1.0,1.0
2020-12-30,25.0,26.0,19.0,1.0,2.0
2020-12-29,49.0,23.0,11.0,1.0,1.0
2020-12-28,46.0,21.0,22.0,1.0,2.0
2020-12-27,33.0,18.0,15.0,1.0,2.0
2020-12-26,23.0,18.0,6.0,1.0,1.0
2020-12-25,32.0,30.0,3.0,1.0,1.0
2020-12-24,35.0,29.0,15.0,1.0,2.0
2020-12-23,48.0,19.0,20.0,1.0,3.0
2020-12-22,71.0,23.0,17.0,1.0,4.0
2020-12-21,71.0,7.0,24.0,1.0,7.0
2020-12-20,55.0,4.0,33.0,1.0,5.0
2020-12-19,39.0,14.0,30.0,1.0,4.0
2020-12-18,21.0,22.0,26.0,1.0,3.0
2020-12-17,35.0,24.0,11.0,1.0,1.0
2020-12-16,33.0,24.0,14.0,1.0,2.0
2020-12-15,34.0,20.0,13.0,1.0,1.0
2020-12-14,42.0,8.0,19.0,1.0,2.0
2020-12-13,63.0,19.0,12.0,1.0,2.0
2020-12-12,57.0,13.0,21.0,1.0,5.0
2020-12-11,43.0,17.0,23.0,1.0,3.0
2020-12-10,43.0,11.0,18.0,1.0,2.0
2020-12-09,31.0,12.0,21.0,1.0,2.0
2020-12-08,26.0,19.0,13.0,1.0,1.0
2020-12-07,16.0,20.0,13.0,1.0,1.0
2020-12-06,20.0,19.0,6.0,1.0,1.0
2020-12-05,39.0,20.0,7.0,1.0,1.0
2020-12-04,34.0,24.0,15.0,1.0,2.0
2020-12-03,25.0,22.0,17.0,1.0,2.0
2020-12-02,32.0,20.0,11.0,1.0,1.0
2020-12-01,36.0,28.0,8.0,1.0,1.0
2020-11-30,31.0,29.0,11.0,1.0,1.0
2020-11-29,31.0,21.0,15.0,1.0,1.0
2020-11-28,30.0,18.0,13.0,1.0,2.0
2020-11-27,39.0,8.0,16.0,1.0,4.0
2020-11-26,47.0,24.0,15.0,1.0,3.0
2020-11-25,26.0,8.0,26.0,1.0,5.0
2020-11-24,24.0,20.0,15.0,1.0,1.0
2020-11-23,27.0,15.0,11.0,1.0,1.0
2020-11-22,43.0,20.0,5.0,1.0,1.0
2020-11-21,36.0,22.0,14.0,1.0,2.0
2020-11-20,38.0,23.0,13.0,1.0,2.0
2020-11-19,28.0,24.0,18.0,1.0,2.0
2020-11-18,28.0,21.0,14.0,1.0,1.0
2020-11-17,21.0,21.0,14.0,1.0,1.0
2020-11-16,33.0,25.0,12.0,1.0,1.0
