date, pm25, o3, no2, so2, co
2021/6/22, 57, 12, 10, , 1
2021/6/23, 25, 23, 7, , 1
2021/6/24, 30, 25, 8, 1, 1
2021/6/25, 32, 20, 9, 1, 1
2021/6/26, 13, 18, 1, , 1
2021/6/27, 15, 26, 2, , 
2021/6/28, 26, 42, 6, 1, 1
2021/6/29, 43, 41, 8, 1, 1
2021/6/30, 50, 43, 10, 1, 1
2021/7/1, 40, 26, 10, , 1
2021/1/5, 32, 21, 18, , 2
2021/1/6, 31, 21, 14, , 2
2021/1/7, 33, 23, 12, , 2
2021/1/8, 33, 23, 15, , 2
2021/1/9, 32, 25, 17, , 2
2021/1/10, 29, 25, 17, 1, 2
2021/1/11, 37, 9, 29, 1, 5
2021/1/12, 59, 16, 22, 1, 3
2021/1/13, 54, 16, 19, 1, 2
2021/1/14, 50, 6, 25, 1, 3
2021/1/15, 84, 19, 15, 1, 2
2021/1/16, 57, 28, 6, , 1
2021/1/17, 22, 23, 5, , 1
2021/1/18, 24, 21, 9, , 1
2021/1/19, 24, 20, 13, , 2
2021/1/20, 31, 25, 16, , 2
2021/1/21, 36, 21, 20, , 2
2021/1/22, 36, 18, 19, 1, 3
2021/1/23, 46, 25, 7, , 1
2021/1/24, 20, 29, 5, , 1
2021/1/25, 23, 26, 15, , 1
2021/1/26, 27, 24, 19, 1, 2
2021/1/27, 29, 15, 25, , 1
2021/1/28, 30, 25, 19, , 1
2021/1/29, 24, 23, 11, , 1
2021/1/30, 36, 25, 12, , 1
2021/1/31, 44, 17, 18, 1, 2
2021/2/1, 50, 24, 15, , 2
2021/2/2, 41, 25, 9, , 1
2021/2/3, 21, 26, 16, , 2
2021/2/4, 24, 24, 21, 1, 2
2021/2/5, 35, 21, 32, 1, 4
2021/2/6, 59, 28, 17, , 2
2021/2/7, 58, 18, 22, , 3
2021/2/8, 48, 26, 20, , 2
2021/2/9, 53, 14, 29, 1, 2
2021/2/10, 59, 25, 21, , 2
2021/2/11, 59, 26, 22, , 2
2021/2/12, 56, 24, 17, , 1
2021/2/13, 34, 24, 11, 1, 1
2021/2/14, 25, 19, 18, 1, 2
2021/2/15, 33, 22, 14, 1, 2
2021/2/16, 34, 25, 19, , 2
2021/2/17, 23, 27, 13, , 1
2021/2/18, 26, 21, 16, 1, 2
2021/2/19, 28, 20, 20, , 2
2021/2/20, 36, 28, 18, , 2
2021/2/21, 36, 30, 16, , 2
2021/2/22, 32, 28, 24, 1, 3
2021/2/23, 47, 33, 16, , 1
2021/2/24, 42, 35, 14, , 1
2021/2/25, 29, 30, 9, , 1
2021/2/26, 25, 30, 15, , 1
2021/2/27, 31, 25, 14, , 2
2021/2/28, 36, 25, 14, , 2
2021/3/1, 37, 28, 15, 1, 2
2021/3/2, 30, 28, 8, , 1
2021/3/3, 25, 29, 15, , 2
2021/3/4, 35, 27, 13, , 1
2021/3/5, 27, 29, 10, , 1
2021/3/6, 20, 29, 9, , 1
2021/3/7, 28, 28, 10, , 1
2021/3/8, 29, 27, 18, , 2
2021/3/9, 32, 32, 16, 1, 2
2021/3/10, 37, 29, 18, 1, 2
2021/3/11, 37, 44, 16, 1, 2
2021/3/12, 55, 35, 13, , 1
2021/3/13, 37, 30, 7, , 1
2021/3/14, 22, 32, 7, , 1
2021/3/15, 21, 30, 12, , 1
2021/3/16, 26, 26, 18, 1, 2
2021/3/17, 33, 33, 14, , 2
2021/3/18, 38, 26, 16, , 2
2021/3/19, 54, 30, 9, , 1
2021/3/20, 25, 32, 19, , 2
2021/3/21, 28, 34, 20, 1, 3
2021/3/22, 38, 33, 20, , 2
2021/3/23, 41, 28, 22, 1, 2
2021/3/24, 37, 21, 22, 1, 3
2021/3/25, 41, 24, 25, 1, 2
2021/3/26, 48, 27, 8, 1, 1
2021/3/27, 35, 27, 6, , 1
2021/3/28, 16, 24, 4, 1, 1
2021/3/29, 23, 28, 10, 1, 1
2021/3/30, 20, 36, 15, , 2
2021/3/31, 27, 36, 9, , 1
2021/4/1, 32, 27, 11, , 1
2020/10/2, 45, 18, 16, , 2
2020/10/3, 51, 24, 11, , 2
2020/10/4, 43, 25, 8, , 1
2020/10/5, 35, 19, 7, , 1
2020/10/6, 40, 28, 13, , 1
2020/10/7, 42, 33, 10, 1, 
2020/10/8, 38, 20, 7, , 1
2020/10/9, 25, 21, 11, , 1
2020/10/10, 35, 33, 6, , 1
2020/10/11, 47, 22, 3, , 1
2020/10/12, 30, 21, 3, , 1
2020/10/13, 27, 17, 7, , 1
2020/10/14, 27, 24, 13, , 2
2020/10/15, 36, 38, 13, 1, 2
2020/10/16, 48, 24, 14, , 1
2020/10/17, 32, 21, 10, 1, 2
2020/10/18, 36, 25, 13, 1, 4
2020/10/19, 53, 21, 17, 1, 4
2020/10/20, 48, 18, 16, 1, 2
2020/10/21, 41, 15, 12, , 2
2020/10/22, 26, 16, 10, 1, 2
2020/10/23, 31, 20, 6, , 1
2020/10/24, 34, 21, 7, , 
2020/10/25, 33, 20, 5, , 1
2020/10/26, 32, 21, 7, , 1
2020/10/27, 34, 16, 12, , 1
2020/10/28, 30, 12, 13, , 2
2020/10/29, 21, 19, 14, 1, 2
2020/10/30, 28, 19, 14, , 2
2020/10/31, 26, 16, 22, 1, 5
2020/11/1, 50, 17, 19, 1, 4
2020/11/2, 44, 22, 8, 1, 1
2020/11/3, 20, 20, 12, , 1
2020/11/4, 31, 23, 17, , 2
2020/11/5, 37, 28, 12, , 1
2020/11/6, 33, 31, 13, 1, 1
2020/11/7, 35, 34, 18, 1, 2
2020/11/8, 56, 34, 23, 1, 4
2020/11/9, 65, 12, 32, 1, 8
2020/11/10, 82, 26, 21, 1, 3
2020/11/11, 58, 21, 8, , 1
2020/11/12, 13, 17, 12, , 1
2020/11/13, 16, 11, 11, 1, 1
2020/11/14, 29, 16, 13, , 2
2020/11/15, 34, 32, 11, 1, 2
2020/11/16, 33, 25, 12, , 1
2020/11/17, 21, 21, 14, , 1
2020/11/18, 28, 21, 14, , 1
2020/11/19, 28, 24, 18, , 2
2020/11/20, 38, 23, 13, , 2
2020/11/21, 36, 22, 14, , 2
2020/11/22, 43, 20, 5, , 1
2020/11/23, 27, 15, 11, , 1
2020/11/24, 24, 20, 15, , 1
2020/11/25, 26, 8, 26, 1, 5
2020/11/26, 47, 24, 15, 1, 3
2020/11/27, 39, 8, 16, 1, 4
2020/11/28, 30, 18, 13, , 2
2020/11/29, 31, 21, 15, , 1
2020/11/30, 31, 29, 11, 1, 1
2020/12/1, 36, 28, 8, , 1
2020/12/2, 32, 20, 11, , 1
2020/12/3, 25, 22, 17, 1, 2
2020/12/4, 34, 24, 15, 1, 2
2020/12/5, 39, 20, 7, , 1
2020/12/6, 20, 19, 6, , 1
2020/12/7, 16, 20, 13, , 1
2020/12/8, 26, 19, 13, , 1
2020/12/9, 31, 12, 21, 1, 2
2020/12/10, 43, 11, 18, 1, 2
2020/12/11, 43, 17, 23, 1, 3
2020/12/12, 57, 13, 21, 1, 5
2020/12/13, 63, 19, 12, 1, 2
2020/12/14, 42, 8, 19, , 2
2020/12/15, 34, 20, 13, , 1
2020/12/16, 33, 24, 14, , 2
2020/12/17, 35, 24, 11, , 1
2020/12/18, 21, 22, 26, 1, 3
2020/12/19, 39, 14, 30, 1, 4
2020/12/20, 55, 4, 33, 1, 5
2020/12/21, 71, 7, 24, 1, 7
2020/12/22, 71, 23, 17, 1, 4
2020/12/23, 48, 19, 20, 1, 3
2020/12/24, 35, 29, 15, 1, 2
2020/12/25, 32, 30, 3, , 1
2020/12/26, 23, 18, 6, , 1
2020/12/27, 33, 18, 15, , 2
2020/12/28, 46, 21, 22, 1, 2
2020/12/29, 49, 23, 11, , 1
2020/12/30, 25, 26, 19, , 2
2020/12/31, 32, 27, 11, , 1
2021/1/1, 23, 20, 15, , 2
